;Source;Target;Common Genes
551;Crouzon syndrome;Colon cancer;1
552;Crouzon syndrome;Hypochondroplasia;1
553;Crouzon syndrome;Muenke syndrome;1
554;Crouzon syndrome;Thanatophoric dysplasia, types I and II;1
555;Crouzon syndrome;Apert syndrome;1
556;Crouzon syndrome;Beare-Stevenson cutis gyrata syndrome;1
557;Crouzon syndrome;Craniofacial-skeletal-dermatologic dysplasia;1
558;Crouzon syndrome;Craniosynostosis;1
559;Crouzon syndrome;Gastric cancer;1
560;Crouzon syndrome;Jackson-Weiss syndrome;1
561;Crouzon syndrome;Pfeiffer syndrome;1
562;Crouzon syndrome;Saethre-Chotzen syndrome;1
563;Cutis laxa;Menkes disease;1
564;Cutis laxa;Occipital horn syndrome;1
565;Cutis laxa;Supravalvar aortic stenosis;1
566;Cutis laxa;Williams-Beuren syndrome;1
567;Cutis laxa;Macular degeneration;1
568;Cyclic ichthyosis with epidermolytic hyperkeratosis;Epidermolytic hyperkeratosis;1
569;Cyclic ichthyosis with epidermolytic hyperkeratosis;Ichthyosis;1
570;Cyclic ichthyosis with epidermolytic hyperkeratosis;Keratosis palmoplantaria striata;1
571;Cyclic ichthyosis with epidermolytic hyperkeratosis;Unna-Thost disease, nonepidermolytic;1
572;Deafness;Alagille syndrome;1
573;Deafness;Tetralogy of Fallot;1
574;Deafness;OSMED syndrome;1
575;Deafness;Stickler syndrome;1
576;Deafness;Weissenbacher-Zweymuller syndrome;1
577;Deafness;Jensen syndrome;1
578;Deafness;Mohr-Tranebjaerg syndrome;1
579;Deafness;Meniere disease;1
580;Deafness;Dentin dysplasia, type II;1
581;Deafness;Dentinogenesis imperfecta, Shields type;1
582;Deafness;Cardiomyopathy;1
583;Deafness;Bart-Pumphrey syndrome;1
584;Deafness;Hystrix-like ichthyosis with deafness;1
585;Deafness;Keratitis-ichthyosis-deafness syndrome;1
586;Deafness;Keratoderma, palmoplantar, with deafness;1
587;Deafness;Vohwinkel syndrome;1
588;Deafness;Erythrokeratoderma;1
589;Deafness;Epstein syndrome;1
590;Deafness;Fechtner syndrome;1
591;Deafness;May-Hegglin anomaly;1
592;Deafness;Sebastian syndrome;1
593;Deafness;Usher syndrome;4
594;Deafness;Enlarged vestibular aqueduct;1
595;Deafness;Pendred syndrome;1
596;Deafness;Ectodermal dysplasia;1
597;Dejerine-Sottas disease;Charcot-Marie-Tooth disease;3
598;Dejerine-Sottas disease;Neuropathy;3
599;Dejerine-Sottas disease;Roussy-Levy syndrome;2
600;Dementia;Pallidopontonigral degeneration;1
601;Dementia;Supranuclear palsy;1
602;Dementia;Tauopathy and respiratory failure;1
603;Dementia;Alzheimer disease;1
604;Dementia;Pick disease;1
605;Dementia;Parkinson disease;1
606;Dementia;Asthma;1
607;Dementia;Malaria;1
608;Dementia;Migraine;1
609;Dementia;Sepsis;1
610;Dentin dysplasia, type II;Deafness;1
611;Dentin dysplasia, type II;Dentinogenesis imperfecta, Shields type;1
612;Dentinogenesis imperfecta, Shields type;Deafness;1
613;Dentinogenesis imperfecta, Shields type;Dentin dysplasia, type II;1
614;Denys-Drash syndrome;Frasier syndrome;1
615;Denys-Drash syndrome;Mesangial sclerosis;1
616;Denys-Drash syndrome;WAGR syndrome;1
617;Denys-Drash syndrome;Wilms tumor;1
618;Dermatobrosarcoma protuberans;Giant-cell fibroblastoma;1
619;Dermatobrosarcoma protuberans;Meningioma;1
620;Desmoid disease, hereditary;Adenoma, periampullary;1
621;Desmoid disease, hereditary;Adenomas;1
622;Desmoid disease, hereditary;Colon cancer;1
623;Desmoid disease, hereditary;Gardner syndrome;1
624;Desmoid disease, hereditary;Gastric cancer;1
625;Desmoid disease, hereditary;Turcot syndrome;1
626;Diabetes mellitus;Alzheimer disease;1
627;Diabetes mellitus;Angiotensin I-converting enzyme;1
628;Diabetes mellitus;Myocardial infarction;1
629;Diabetes mellitus;Renal tubular dysgenesis;1
630;Diabetes mellitus;SARS, progression of;1
631;Diabetes mellitus;Hyperinsulinism;1
632;Diabetes mellitus;MODY;5
633;Diabetes mellitus;Leprechaunism;1
634;Diabetes mellitus;Rabson-Mendenhall syndrome;1
635;Diabetes mellitus;Pancreatic agenesis;1
636;Diabetes mellitus;Persistent hyperinsulinemic hypoglycemia of infancy;1
637;Diabetes mellitus;Obesity;2
638;Diabetes mellitus;Ossication of the posterior longitudinal spinal ligaments;1
639;Diabetes mellitus;Glioblastoma;1
640;Diabetes mellitus;Insulin resistance;1
641;Diabetes mellitus;Lipodystrophy;1
642;Diabetes mellitus;Fanconi-Bickel syndrome;1
643;Diabetes mellitus;Hypoglycemia;1
644;Diabetes mellitus;Hepatic adenoma;1
645;Diabetes mellitus;Glomerulocystic kidney disease, hypoplastic;1
646;Diabetes mellitus;Rheumatoid arthritis;1
647;Diabetes mellitus;Systemic lupus erythematosus;1
648;Diabetes mellitus;Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked;1
649;Diabetes mellitus;Hypertension;1
650;Diastrophic dysplasia;Achondrogenesis Ib;1
651;Diastrophic dysplasia;Atelosteogenesis;1
652;Diastrophic dysplasia;Epiphyseal dysplasia;1
653;Dilated cardiomyopathy with woolly hair and keratoderma;Arrhythmogenic right ventricular dysplasia;1
654;Dilated cardiomyopathy with woolly hair and keratoderma;Epidermolysis bullosa;1
655;Dilated cardiomyopathy with woolly hair and keratoderma;Keratosis palmoplantaria striata;1
656;Dilated cardiomyopathy with woolly hair and keratoderma;Skin fragility-woolly hair syndrome;1
657;Dissection of cervical arteries;Caffey disease;1
658;Dissection of cervical arteries;Ehlers-Danlos syndrome;1
659;Dissection of cervical arteries;Osteogenesis imperfecta;1
660;Dissection of cervical arteries;Osteoporosis;1
661;Dopamine beta-hydroxylase deciency;Parkinson disease;1
662;Duchenne muscular dystrophy;Becker muscular dystrophy;1
663;Duchenne muscular dystrophy;Cardiomyopathy;1
664;Dyserythropoietic anemia;Leukemia;1
665;Dyserythropoietic anemia;Macrothrombocytopenia;1
666;Dysfibrinogenemia;Afibrinogenemia;2
667;Dysfibrinogenemia;Amyloidosis;1
668;Dysfibrinogenemia;Thrombophilia;2
669;Dysfibrinogenemia;Hypofibrinogenemia;1
670;Dystransthyretinemic hyperthyroxinemia;Amyloid neuropathy;1
671;Dystransthyretinemic hyperthyroxinemia;Amyloidosis;1
672;Dystransthyretinemic hyperthyroxinemia;Carpal tunnel syndrome, familial;1
673;EBD;Epidermolysis bullosa;1
674;EBD;Toenail dystrophy, isolated;1
675;EBD;Transient bullous of the newborn;1
676;Ectodermal dysplasia;Cleft palate;1
677;Ectodermal dysplasia;Zlotogora-Ogur syndrome;1
678;Ectodermal dysplasia;Incontinentia pigmenti;1
679;Ectodermal dysplasia;Deafness;1
680;Ectopia;Aortic aneurysm;1
681;Ectopia;Marfan syndrome;1
682;Ectopia;MASS syndrome;1
683;Ectopia;Shprintzen-Goldberg syndrome;1
684;Ectopia;Weill-Marchesani syndrome;1
685;Ectopia;Aniridia, type II;1
686;Ectopia;Cataract;1
687;Ectopia;Coloboma, ocular;1
688;Ectopia;Eye anomalies;1
689;Ectopia;Foveal hypoplasia;1
690;Ectopia;Keratitis;1
691;Ectopia;Morning glory disc anomaly;1
692;Ectopia;Optic nerve hypoplasia/aplasia;1
693;Ectopia;Peters anomaly;1
694;Ehlers-Danlos syndrome;Caffey disease;1
695;Ehlers-Danlos syndrome;Dissection of cervical arteries;1
696;Ehlers-Danlos syndrome;Osteogenesis imperfecta;2
697;Ehlers-Danlos syndrome;Osteoporosis;2
698;Ehlers-Danlos syndrome;Marfan syndrome;1
699;Ehlers-Danlos syndrome;Aneurysm, familial arterial;1
700;Ehlers-Danlos syndrome;Nevo syndrome;1
701;Elliptocytosis;Blood group;1
702;Elliptocytosis;Hemolytic anemia;1
703;Elliptocytosis;Renal tubular acidosis;1
704;Elliptocytosis;Spherocytosis;3
705;Elliptocytosis;Pyropoikilocytosis;1
706;Elliptocytosis;Anemia;1
707;Emery-Dreifuss muscular dystrophy;Cardiomyopathy;1
708;Emery-Dreifuss muscular dystrophy;Lipodystrophy;1
709;Emphysema;Hemorrhagic diathesis;1
710;Endometrial carcinoma;Breast cancer;1
711;Endometrial carcinoma;Gastric cancer;1
712;Endometrial carcinoma;Listeria monocytogenes;1
713;Endometrial carcinoma;Ovarian cancer;2
714;Endometrial carcinoma;Cancer susceptibility;1
715;Endometrial carcinoma;Colon cancer;1
716;Endometrial carcinoma;Bannayan-Riley-Ruvalcaba syndrome;1
717;Endometrial carcinoma;Cowden disease;1
718;Endometrial carcinoma;Lhermitte-Duclos syndrome;1
719;Endometrial carcinoma;Meningioma;1
720;Endometrial carcinoma;Oligodendroglioma;1
721;Endometrial carcinoma;Prostate cancer;1
722;Endometrial carcinoma;Thyroid carcinoma;1
723;Endometrial carcinoma;VATER association with hydrocephalus;1
724;Enhanced S-cone syndrome;Retinitis pigmentosa;1
725;Enlarged vestibular aqueduct;Deafness;1
726;Enlarged vestibular aqueduct;Pendred syndrome;1
727;Epidermolysis bullosa;EBD;1
728;Epidermolysis bullosa;Toenail dystrophy, isolated;1
729;Epidermolysis bullosa;Transient bullous of the newborn;1
730;Epidermolysis bullosa;Arrhythmogenic right ventricular dysplasia;1
731;Epidermolysis bullosa;Dilated cardiomyopathy with woolly hair and keratoderma;1
732;Epidermolysis bullosa;Keratosis palmoplantaria striata;1
733;Epidermolysis bullosa;Skin fragility-woolly hair syndrome;1
734;Epidermolysis bullosa;Laryngoonychocutaneous syndrome;1
735;Epidermolysis bullosa;Muscular dystrophy;1
736;Epidermolytic hyperkeratosis;Cyclic ichthyosis with epidermolytic hyperkeratosis;1
737;Epidermolytic hyperkeratosis;Ichthyosis;2
738;Epidermolytic hyperkeratosis;Keratosis palmoplantaria striata;1
739;Epidermolytic hyperkeratosis;Unna-Thost disease, nonepidermolytic;1
740;Epidermolytic hyperkeratosis;Nevus, epidermal, epidermolytic hyperkeratotic type;1
741;Epilepsy;Ataxia;1
742;Epilepsy;Nicotine addiction;1
743;Epilepsy;Myoclonic epilepsy;1
744;Epilepsy;Myokymia with neonatal epilepsy;1
745;Epilepsy;Glioblastoma;1
746;Epiphyseal dysplasia;Intervertebral disc disease;2
747;Epiphyseal dysplasia;Pseudoachondroplasia;1
748;Epiphyseal dysplasia;Achondrogenesis Ib;1
749;Epiphyseal dysplasia;Atelosteogenesis;1
750;Epiphyseal dysplasia;Diastrophic dysplasia;1
751;Epiphyseal dysplasia;Osteoarthritis;1
752;Epiphyseal dysplasia;Spondyloepiphyseal dysplasia;1
753;Episodic ataxia;Cerebellar ataxia;1
754;Episodic ataxia;Hemiplegic migraine, familial;1
755;Episodic ataxia;Spinocereballar ataxia;1
756;Epstein syndrome;Deafness;1
757;Epstein syndrome;Fechtner syndrome;1
758;Epstein syndrome;May-Hegglin anomaly;1
759;Epstein syndrome;Sebastian syndrome;1
760;Erythrokeratoderma;Deafness;1
761;Erythrokeratoderma;Vohwinkel syndrome;1
762;Esophageal cancer;Colon cancer;1
763;Esophageal cancer;Loeys-Dietz syndrome;1
764;Estrogen resistance;HDL cholesterol level QTL;1
765;Estrogen resistance;Migraine;1
766;Exudative vitreoretinopathy;Bone mineral density variability;1
767;Exudative vitreoretinopathy;Hyperostosis, endosteal;1
768;Exudative vitreoretinopathy;Osteopetrosis;1
769;Exudative vitreoretinopathy;Osteoporosis;1
770;Exudative vitreoretinopathy;Osteoporosis-pseudoglioma syndrome;1
771;Exudative vitreoretinopathy;van Buchem disease;1
772;Exudative vitreoretinopathy;Coats disease;1
773;Exudative vitreoretinopathy;Norrie disease;1
774;Eye anomalies;Aniridia, type II;1
775;Eye anomalies;Cataract;1
776;Eye anomalies;Coloboma, ocular;1
777;Eye anomalies;Ectopia;1
778;Eye anomalies;Foveal hypoplasia;1
779;Eye anomalies;Keratitis;1
780;Eye anomalies;Morning glory disc anomaly;1
781;Eye anomalies;Optic nerve hypoplasia/aplasia;1
782;Eye anomalies;Peters anomaly;1
783;Factor x deficiency;Myocardial infarction;1
784;Factor x deficiency;Hemolytic-uremic syndrome;1
785;Factor x deficiency;Macular degeneration;1
786;Factor x deficiency;Nephropathy-hypertension;1
787;Fanconi anemia;Breast cancer;2
788;Fanconi anemia;Pancreatic cancer;1
789;Fanconi anemia;Prostate cancer;1
790;Fanconi anemia;Wilms tumor;1
791;Fanconi-Bickel syndrome;Diabetes mellitus;1
792;Favism;G6PD deficiency;1
793;Favism;Hemolytic anemia;1
794;Fechtner syndrome;Deafness;1
795;Fechtner syndrome;Epstein syndrome;1
796;Fechtner syndrome;May-Hegglin anomaly;1
797;Fechtner syndrome;Sebastian syndrome;1
798;Foveal hypoplasia;Aniridia, type II;1
799;Foveal hypoplasia;Cataract;1
800;Foveal hypoplasia;Coloboma, ocular;1
801;Foveal hypoplasia;Ectopia;1
802;Foveal hypoplasia;Eye anomalies;1
803;Foveal hypoplasia;Keratitis;1
804;Foveal hypoplasia;Morning glory disc anomaly;1
805;Foveal hypoplasia;Optic nerve hypoplasia/aplasia;1
806;Foveal hypoplasia;Peters anomaly;1
807;Foveomacular dystrophy, adult-onset, with choroidal neovascularization;Butterfly dystrophy, retinal;1
808;Foveomacular dystrophy, adult-onset, with choroidal neovascularization;Macular dystrophy;1
809;Foveomacular dystrophy, adult-onset, with choroidal neovascularization;Retinitis pigmentosa;1
810;Frasier syndrome;Denys-Drash syndrome;1
811;Frasier syndrome;Mesangial sclerosis;1
812;Frasier syndrome;WAGR syndrome;1
813;Frasier syndrome;Wilms tumor;1
814;Fuchs endothelial corneal dystrophy;Corneal dystrophy;1
815;Fundus albipunctatus;Cone dystrophy;1
816;Fundus albipunctatus;Macular dystrophy;1
817;Fundus albipunctatus;Retinitis pigmentosa;2
818;Fundus albipunctatus;Stargardt disease;1
819;Fundus albipunctatus;Bothnia retinal dystrophy;1
820;Fundus albipunctatus;Newfoundland rod-cone dystrophy;1
821;G6PD deficiency;Favism;1
822;G6PD deficiency;Hemolytic anemia;1
823;Gardner syndrome;Adenoma, periampullary;1
824;Gardner syndrome;Adenomas;1
825;Gardner syndrome;Colon cancer;1
826;Gardner syndrome;Desmoid disease, hereditary;1
827;Gardner syndrome;Gastric cancer;1
828;Gardner syndrome;Turcot syndrome;1
829;Gastric cancer;Adenoma, periampullary;1
830;Gastric cancer;Adenomas;2
831;Gastric cancer;Colon cancer;2
832;Gastric cancer;Desmoid disease, hereditary;1
833;Gastric cancer;Gardner syndrome;1
834;Gastric cancer;Turcot syndrome;1
835;Gastric cancer;Autoimmune disease;1
836;Gastric cancer;Non-Hodgkin lymphoma;1
837;Gastric cancer;Breast cancer;1
838;Gastric cancer;Endometrial carcinoma;1
839;Gastric cancer;Listeria monocytogenes;1
840;Gastric cancer;Ovarian cancer;2
841;Gastric cancer;Prostate cancer;1
842;Gastric cancer;Adenocarcinoma;1
843;Gastric cancer;Glioblastoma;1
844;Gastric cancer;Apert syndrome;1
845;Gastric cancer;Beare-Stevenson cutis gyrata syndrome;1
846;Gastric cancer;Craniofacial-skeletal-dermatologic dysplasia;1
847;Gastric cancer;Craniosynostosis;1
848;Gastric cancer;Crouzon syndrome;1
849;Gastric cancer;Jackson-Weiss syndrome;1
850;Gastric cancer;Pfeiffer syndrome;1
851;Gastric cancer;Saethre-Chotzen syndrome;1
852;Gastric cancer;Macrocytic anemia;1
853;Gastric cancer;Myelodysplastic syndrome;1
854;Gastric cancer;Myelogenous leukemia;1
855;Gastric cancer;Nonsmall cell lung cancer;1
856;Gastrointestinal stromal tumor;Germ cell tumor;1
857;Gastrointestinal stromal tumor;Leukemia;1
858;Gastrointestinal stromal tumor;Mast cell leukemia;1
859;Gastrointestinal stromal tumor;Mastocytosis with associated hematologic disorder;1
860;Gastrointestinal stromal tumor;Piebaldism;1
861;Gastrointestinal stromal tumor;Hypereosinophilic syndrome;1
862;Germ cell tumor;Gastrointestinal stromal tumor;1
863;Germ cell tumor;Leukemia;1
864;Germ cell tumor;Mast cell leukemia;1
865;Germ cell tumor;Mastocytosis with associated hematologic disorder;1
866;Germ cell tumor;Piebaldism;1
867;Germ cell tumor;Colon cancer;1
868;Germ cell tumor;Lymphoma;1
869;Germ cell tumor;Mesothelioma;1
870;Germ cell tumor;Sezary syndrome;1
871;Gerstmann-Straussler disease;Creutzfeldt-Jakob disease;1
872;Gerstmann-Straussler disease;Huntington disease;1
873;Gerstmann-Straussler disease;Insomnia;1
874;Gerstmann-Straussler disease;Prion disease with protracted course;1
875;Giant-cell fibroblastoma;Dermatobrosarcoma protuberans;1
876;Giant-cell fibroblastoma;Meningioma;1
877;Glaucoma;Peters anomaly;1
878;Glaucoma;Optic atrophy;1
879;Glioblastoma;Adenocarcinoma;1
880;Glioblastoma;Gastric cancer;1
881;Glioblastoma;Ovarian cancer;2
882;Glioblastoma;Cafe-au-lait spots;1
883;Glioblastoma;Colon cancer;1
884;Glioblastoma;Lymphoma;1
885;Glioblastoma;Lynch cancer family syndrome II;1
886;Glioblastoma;Muir-Torre syndrome;1
887;Glioblastoma;Neurofibromatosis;1
888;Glioblastoma;Diabetes mellitus;1
889;Glioblastoma;Insulin resistance;1
890;Glioblastoma;Lipodystrophy;1
891;Glioblastoma;Obesity;1
892;Glioblastoma;Epilepsy;1
893;Glomerulocystic kidney disease, hypoplastic;Diabetes mellitus;1
894;Glomerulocystic kidney disease, hypoplastic;MODY;1
895;Glutathione synthetase deciency;Hemolytic anemia;1
896;Goiter;Autoimmune thyroid disease;1
897;Goiter;Hypothyroidism;1
898;Goiter;Hyperthyroidism;1
899;Goiter;Thyroid hormone resistance;1
900;Goiter;Total iodide organication defect;1
901;GRACILE syndrome;Leigh syndrome;1
902;GRACILE syndrome;Mitochondrial complex deciency;1
903;Graft-versus-host disease;HIV;1
904;Graft-versus-host disease;Rheumatoid arthritis;1
905;Graves disease;Hypothyroidism;1
906;Growth hormone;Leukemia;1
907;HDL cholesterol level QTL;Cerebral amyloid angiopathy;1
908;HDL cholesterol level QTL;Coronary artery disease;1
909;HDL cholesterol level QTL;Tangier disease;1
910;HDL cholesterol level QTL;Estrogen resistance;1
911;HDL cholesterol level QTL;Migraine;1
912;Heart block;Brugada syndrome;1
913;Heart block;Long QT syndrome;1
914;Heart block;Sick sinus syndrome;1
915;Heart block;Ventricular brillation, idiopathic;1
916;Hemangioblastoma, cerebellar;Pheochromocytoma;1
917;Hemangioblastoma, cerebellar;Polycythemia;1
918;Hemangioblastoma, cerebellar;Renal cell carcinoma;1
919;Hemangioblastoma, cerebellar;von Hippel-Lindau syndrome;1
920;Hematopoiesis, cyclic;Neutropenia;1
921;Hemiplegic migraine, familial;Cerebellar ataxia;1
922;Hemiplegic migraine, familial;Episodic ataxia;1
923;Hemiplegic migraine, familial;Spinocereballar ataxia;1
924;Hemolytic anemia;Favism;1
925;Hemolytic anemia;G6PD deficiency;1
926;Hemolytic anemia;Glutathione synthetase deciency;1
927;Hemolytic anemia;Myoglobinuria/hemolysis due to PGK deciency;1
928;Hemolytic anemia;Blood group;1
929;Hemolytic anemia;Elliptocytosis;1
930;Hemolytic anemia;Renal tubular acidosis;1
931;Hemolytic anemia;Spherocytosis;1
932;Hemolytic-uremic syndrome;Factor x deficiency;1
933;Hemolytic-uremic syndrome;Macular degeneration;1
934;Hemolytic-uremic syndrome;Nephropathy-hypertension;1
935;Hemorrhagic diathesis;Thrombocytopenia;1
936;Hemorrhagic diathesis;Thrombophilia;1
937;Hemorrhagic diathesis;Emphysema;1
938;Hemosiderosis, systemic, due to aceruloplasminemia;Cerebellar ataxia;1
939;Hemosiderosis, systemic, due to aceruloplasminemia;Hypoceruloplasminemia;1
940;Hepatic adenoma;Autoimmune disease;1
941;Hepatic adenoma;Colon cancer;3
942;Hepatic adenoma;Ovarian cancer;1
943;Hepatic adenoma;Pilomatricoma;1
944;Hepatic adenoma;Renal cell carcinoma;1
945;Hepatic adenoma;Diabetes mellitus;1
946;Hepatic adenoma;MODY;1
947;Hepatic adenoma;Adrenal cortical carcinoma;1
948;Hepatic adenoma;Breast cancer;1
949;Hepatic adenoma;Histiocytoma;1
950;Hepatic adenoma;Li-Fraumeni syndrome;1
951;Hepatic adenoma;Multiple malignancy syndrome;1
952;Hepatic adenoma;Nasopharyngeal carcinoma;1
953;Hepatic adenoma;Osteosarcoma;1
954;Hepatic adenoma;Pancreatic cancer;1
955;Hepatic adenoma;Thyroid carcinoma;1
956;Hirschsprung disease;Hypertension;1
957;Hirschsprung disease;Central hypoventilation syndrome;4
958;Hirschsprung disease;Shah-Waardenburg syndrome;1
959;Hirschsprung disease;ABCD syndrome;1
960;Hirschsprung disease;Waardenburg-Shah syndrome;1
961;Hirschsprung disease;Colonic aganglionosis, total, with small bowel involvement;1
962;Hirschsprung disease;Medullary thyroid carcinoma;1
963;Hirschsprung disease;Multiple endocrine neoplasia;1
964;Hirschsprung disease;Neuroblastoma;1
965;Histiocytoma;Adrenal cortical carcinoma;1
966;Histiocytoma;Breast cancer;1
967;Histiocytoma;Colon cancer;1
968;Histiocytoma;Hepatic adenoma;1
969;Histiocytoma;Li-Fraumeni syndrome;1
970;Histiocytoma;Multiple malignancy syndrome;1
971;Histiocytoma;Nasopharyngeal carcinoma;1
972;Histiocytoma;Osteosarcoma;1
973;Histiocytoma;Pancreatic cancer;1
974;Histiocytoma;Thyroid carcinoma;1
975;HIV;Graft-versus-host disease;1
976;HIV;Rheumatoid arthritis;1
977;Holoprosencephaly;Basal cell carcinoma;1
978;Holoprosencephaly;Basal cell nevus syndrome;1
979;Holoprosencephaly;Coloboma, ocular;1
980;Holoprosencephaly;Solitary median maxillary central incisor;1
981;Homocystinuria;Thrombophilia;1
982;Huntington disease;Creutzfeldt-Jakob disease;1
983;Huntington disease;Gerstmann-Straussler disease;1
984;Huntington disease;Insomnia;1
985;Huntington disease;Prion disease with protracted course;1
986;Huntington disease;Parkinson disease;1
987;Huntington disease;Spinocereballar ataxia;1
988;Hypercholanemia;Preeclampsia;1
989;Hypercholesterolemia;Apolipoprotein deficiency;1
990;Hypercholesterolemia;Abetalipoproteinemia;1
991;Hypercholesterolemia;Hypobetalipoproteinemia;1
992;Hypereosinophilic syndrome;Gastrointestinal stromal tumor;1
993;Hyperinsulinism;Diabetes mellitus;1
994;Hyperinsulinism;MODY;1
995;Hyperkalemic periodic paralysis;Cramps, potassium-aggravated;1
996;Hyperkalemic periodic paralysis;Hypokalemic periodic paralysis;1
997;Hyperkalemic periodic paralysis;Myasthenic syndrome;1
998;Hyperkalemic periodic paralysis;Myotonia congenita;1
999;Hyperkalemic periodic paralysis;Paramyotonia congenita;1
1000;Hyperlipoproteinemia;Alzheimer disease;1
1001;Hyperlipoproteinemia;Myocardial infarction;1
1002;Hyperlipoproteinemia;Sea-blue histiocyte disease;1
1003;Hyperostosis, endosteal;Bone mineral density variability;1
1004;Hyperostosis, endosteal;Exudative vitreoretinopathy;1
1005;Hyperostosis, endosteal;Osteopetrosis;1
1006;Hyperostosis, endosteal;Osteoporosis;1
1007;Hyperostosis, endosteal;Osteoporosis-pseudoglioma syndrome;1
1008;Hyperostosis, endosteal;van Buchem disease;1
1009;Hyperparathyroidism;Hypocalcemia;1
1010;Hyperparathyroidism;Hypocalciuric hypercalcemia;1
1011;Hyperparathyroidism;Adrenal adenoma;1
1012;Hyperparathyroidism;Angiofibroma, sporadic;1
1013;Hyperparathyroidism;Carcinoid tumor of lung;1
1014;Hyperparathyroidism;Lipoma;1
1015;Hyperparathyroidism;Multiple endocrine neoplasia;1
1016;Hyperparathyroidism;Parathyroid adenoma;2
1017;Hyperparathyroidism;Prolactinoma, hyperparathyroidism, carcinoid syndrome;1
1018;Hyperproinsulinemia;MODY;1
1019;Hyperprolinemia;Schizophrenia;1
1020;Hyperproreninemia;Renal tubular dysgenesis;1
1021;Hypertension;Preeclampsia;1
1022;Hypertension;Renal tubular dysgenesis;2
1023;Hypertension;Hirschsprung disease;1
1024;Hypertension;Apparent mineralocorticoid excess, hypertension due to;1
1025;Hypertension;Pseudohypoaldosteronism;1
1026;Hypertension;Alzheimer disease;1
1027;Hypertension;Coronary spasms;1
1028;Hypertension;Placental abruption;1
1029;Hypertension;Diabetes mellitus;1
1030;Hyperthroidism;Hypothyroidism;1
1031;Hyperthroidism;Thyroid carcinoma;1
1032;Hyperthyroidism;Goiter;1
1033;Hyperthyroidism;Thyroid hormone resistance;1
1034;Hyperthyroidism;Total iodide organication defect;1
1035;Hypertriglyceridemia;Amyloidosis;1
1036;Hypertriglyceridemia;Apolipoprotein deficiency;1
1037;Hypertriglyceridemia;Corneal dystrophy;1
1038;Hypertriglyceridemia;Hypoalphalipoproteinemia;1
1039;Hypertriglyceridemia;Retinitis pigmentosa;1
1040;Hypoalphalipoproteinemia;Amyloidosis;1
1041;Hypoalphalipoproteinemia;Apolipoprotein deficiency;1
1042;Hypoalphalipoproteinemia;Corneal dystrophy;1
1043;Hypoalphalipoproteinemia;Hypertriglyceridemia;1
1044;Hypobetalipoproteinemia;Abetalipoproteinemia;1
1045;Hypobetalipoproteinemia;Hypercholesterolemia;1
1046;Hypocalcemia;Hyperparathyroidism;1
1047;Hypocalcemia;Hypocalciuric hypercalcemia;1
1048;Hypocalciuric hypercalcemia;Hyperparathyroidism;1
1049;Hypocalciuric hypercalcemia;Hypocalcemia;1
1050;Hypoceruloplasminemia;Cerebellar ataxia;1
1051;Hypoceruloplasminemia;Hemosiderosis, systemic, due to aceruloplasminemia;1
1052;Hypochondroplasia;Achondroplasia;1
1053;Hypochondroplasia;Bladder cancer;1
1054;Hypochondroplasia;Cervical carcinoma;1
1055;Hypochondroplasia;Colon cancer;1
1056;Hypochondroplasia;Crouzon syndrome;1
1057;Hypochondroplasia;Muenke syndrome;1
1058;Hypochondroplasia;Thanatophoric dysplasia, types I and II;1
1059;Hypodontia;Cleft palate;1
1060;Hypodontia;Witkop syndrome;1
1061;Hypodontia;Oligodontia;1
1062;Hypofibrinogenemia;Dysfibrinogenemia;1
1063;Hypofibrinogenemia;Thrombophilia;1
1064;Hypoglycemia;Diabetes mellitus;1
1065;Hypokalemic periodic paralysis;Malignant hyperthermia susceptibility;1
1066;Hypokalemic periodic paralysis;Thyrotoxic periodic paralysis;1
1067;Hypokalemic periodic paralysis;Cramps, potassium-aggravated;1
1068;Hypokalemic periodic paralysis;Hyperkalemic periodic paralysis;1
1069;Hypokalemic periodic paralysis;Myasthenic syndrome;1
1070;Hypokalemic periodic paralysis;Myotonia congenita;1
1071;Hypokalemic periodic paralysis;Paramyotonia congenita;1
1072;Hypothyroidism;Graves disease;1
1073;Hypothyroidism;Autoimmune thyroid disease;1
1074;Hypothyroidism;Goiter;1
1075;Hypothyroidism;Hyperthroidism;1
1076;Hypothyroidism;Thyroid carcinoma;1
1077;Hystrix-like ichthyosis with deafness;Bart-Pumphrey syndrome;1
1078;Hystrix-like ichthyosis with deafness;Deafness;1
1079;Hystrix-like ichthyosis with deafness;Keratitis-ichthyosis-deafness syndrome;1
1080;Hystrix-like ichthyosis with deafness;Keratoderma, palmoplantar, with deafness;1
1081;Hystrix-like ichthyosis with deafness;Vohwinkel syndrome;1
1082;Ichthyosiform erythroderma;Ichthyosis;1
1083;Ichthyosiform erythroderma;Self-healing collodion baby;1
1084;Ichthyosis;Placental steroid sulfatase deciency;1
1085;Ichthyosis;Cyclic ichthyosis with epidermolytic hyperkeratosis;1
1086;Ichthyosis;Epidermolytic hyperkeratosis;2
1087;Ichthyosis;Keratosis palmoplantaria striata;1
1088;Ichthyosis;Unna-Thost disease, nonepidermolytic;1
1089;Ichthyosis;Nevus, epidermal, epidermolytic hyperkeratotic type;1
1090;Ichthyosis;Ichthyosiform erythroderma;1
1091;Ichthyosis;Self-healing collodion baby;1
1092;IgE levels QTL;Asthma;1
